seed_question,updated_question,verification_criterion,result,strategy,source,seed_bloom_level,seed_bloom_rationale,updated_bloom_level,updated_bloom_rationale
"Sustainability is no longer a choice but a necessity for modern businesses. Evaluate how multinational enterprises
(MNEs) can integrate sustainability into their business  	models, using the triple bottom line framework.","When the three pillars of the triple bottom line conflict, which does MNE evidence show gets systematically sacrificed, and why?","The answer must cite at least three empirical examples (specific MNE decisions, sector studies, or comparative analyses) where two or three TBL pillars conflicted, identify a systematic pattern of which pillar(s) MNEs sacrifice (e.g., 'social concerns typically yield to environmental compliance' or 'short-term profit consistently overrides both'), and provide causal reasoning tied to MNE incentive structures (shareholder primacy, regulatory environments, time horizons). Fails if it portrays TBL integration as non-conflictual, describes only hypothetical tradeoffs without empirical patterns, or lacks cited evidence of actual MNE prioritization decisions.",PASSED,"Require synthesis across conflicting stakeholder interests: force evaluation of which TBL pillar MNEs systematically sacrifice when the three conflict, rather than describing harmonious integration.",question_pairs,Evaluate,"The question requires students to make judgments about how MNEs can integrate sustainability using the triple bottom line framework, which involves assessing effectiveness, making recommendations, and justifying approaches based on criteria.",Analyze,The question requires examining empirical evidence from multinational enterprises to identify patterns of trade-offs among the triple bottom line pillars and explain the underlying reasons for these systematic choices.
"Sustainability is no longer a choice but a necessity for modern businesses. Evaluate how multinational enterprises
(MNEs) can integrate sustainability into their business  	models, using the triple bottom line framework.","How do mandatory ESG disclosure regulations causally affect MNEs' actual resource allocation to social and environmental initiatives, holding constant greenwashing incentives?","The answer must explicitly state that current research CANNOT answer this question because existing studies do not cleanly separate the causal effect of disclosure mandates on actual resource allocation from the effect on symbolic reporting/greenwashing. It must name the specific confound: that MNEs subject to disclosure mandates face simultaneous pressures (investor scrutiny, reputational risk) and can respond through reporting changes without operational changes, so correlations between mandates and reported metrics do not isolate the causal effect on real spending. Fails if it asserts a confident causal answer (e.g., 'mandates increase environmental spending by X%'), treats disclosure compliance as equivalent to operational integration, or does not acknowledge that the literature measures reporting outcomes rather than validated resource allocation.",FAILED,Make the question unanswerable by asking for causal mechanisms that current research has not cleanly isolated: the effect of mandatory ESG disclosure on actual resource allocation vs. greenwashing.,question_pairs,Evaluate,"The question requires making judgments about how MNEs can integrate sustainability using the triple bottom line framework, which demands critical assessment and justification of approaches rather than merely explaining or applying concepts.",Analyze,The question requires drawing connections between regulatory mechanisms and corporate behavior by examining causal relationships and isolating specific variables (greenwashing incentives) to understand the true effect on resource allocation.
The Testability of Feminism,Is feminism as a unified theory testable by Popperian falsification criteria?,"The answer must explicitly reject the question's premise by stating that 'feminism' is not a single unified theory but comprises multiple strands with different epistemic statuses: empirical claims (testable via evidence), normative/ethical claims (not subject to empirical falsification), and epistemological frameworks (meta-theoretical). It must show that its own cited sources discuss testability of different KINDS of feminist work (e.g. empirical sociology vs standpoint epistemology) that cannot be aggregated under one verdict. Fails if it provides a single yes/no answer to whether 'feminism' is testable, or discusses testability as if feminism were a univocal scientific theory rather than a heterogeneous intellectual movement.",PASSED,"Reasoning trap via category error: the question treats 'feminism' as a single testable theory when it spans incompatible epistemic categories (empirical claims, normative frameworks, methodological approaches). The system must recognize this incoherence rather than survey literature as if it were univocal.",question_pairs,Evaluate,"This question requires judging whether feminist theories meet scientific criteria for testability, which involves appraising theoretical frameworks against methodological standards.",Evaluate,"The question requires judging whether feminism meets Popperian falsification criteria, which demands critical appraisal of both the nature of feminist theory and the standards of scientific testability."
The Testability of Feminism,Why do feminism and psychoanalysis share similar challenges regarding Popperian testability despite their different subject matters?,"The answer must identify at least two structural features that BOTH frameworks share which create testability challenges, using its own cited sources from feminism literature AND psychoanalysis literature to support each parallel. Examples of valid parallels: both combine empirical claims with normative/interpretive frameworks; both have unfalsifiable theoretical cores alongside testable auxiliary hypotheses; both employ domain-specific epistemologies that resist standard falsification. Fails if it discusses only one framework, if it merely lists separate criticisms without identifying shared structural causes, or if the parallels it draws are not supported by its actual cited sources from both literatures.",PASSED,"Require comparative structural analysis across disjoint domains: force the system to identify SHARED features that explain why both feminism and psychoanalysis resist unified testability criteria, when no literature explicitly compares them on these grounds.",question_pairs,Evaluate,"This question requires judging whether feminist theories meet scientific criteria for testability, which involves appraising theoretical frameworks against methodological standards.",Analyze,The question requires drawing connections between two distinct theoretical frameworks by identifying and comparing their shared methodological challenges in relation to falsifiability criteria.
The Testability of Feminism,What was Popper's argument for classifying feminism as unfalsifiable pseudoscience?,"The answer must explicitly state that Popper did NOT classify feminism as pseudoscience, providing evidence such as: (1) temporal/historical context (Popper's key works like 'Logic of Scientific Discovery' 1934 and 'Conjectures and Refutations' 1963 predate second-wave feminism, or if he lived later that he did not address it in his corpus), and (2) clarification that debates about feminism's testability are APPLICATIONS of Popperian criteria by later scholars, not Popper's own argument. Fails if it presents Popper's general criteria and feminist testability debates as though they constitute Popper's argument about feminism, or if it answers the question as posed without rejecting the false premise that Popper made this classification.",FAILED,"False historical claim requiring primary-source verification: assert that Popper explicitly classified feminism as pseudoscience, forcing the system to distinguish what Popper himself wrote from later applications of falsificationism to feminism.",question_pairs,Evaluate,"This question requires judging whether feminist theories meet scientific criteria for testability, which involves appraising theoretical frameworks against methodological standards.",Remember,"The question asks for recall of a specific argument attributed to Popper regarding feminism and falsifiability, requiring retrieval of factual information."
Reinforcement learning chain of thought for vision-language multimodal models,"When does reinforcement learning chain-of-thought fail for vision-language tasks, and why do results conflict across visual question answering versus image captioning?","The answer must show that its OWN cited sources report divergent RL-CoT outcomes across task categories (e.g., gains on VQA-style tasks with verifiable answers vs failures or minimal gains on open-ended captioning/description tasks) AND attribute this divergence to at least one concrete structural difference in reward specification or credit assignment, such as: VQA enables sparse terminal rewards from answer correctness while captioning lacks ground-truth targets, or VQA allows verification of reasoning steps against question constraints while captioning reasoning is unconstrained. Fails if it reports uniform success/failure across all VL tasks, or if the cited papers do not actually show conflicting outcomes across different task types.",FAILED,"Require reconciliation of conflicting evidence across task types: force the system to explain why RL-CoT works for some vision-language tasks but not others, identifying structural differences in reward specification.",question_pairs,Create,"This question requires designing and developing a novel approach that combines reinforcement learning with chain-of-thought reasoning for vision-language multimodal models, which involves producing original work and formulating new methodologies.",Analyze,The question requires drawing connections between different ideas by comparing and contrasting how reinforcement learning chain-of-thought performs across different vision-language tasks and examining the underlying reasons for conflicting results.
india and the religious component in historical retrospect - how did the marginalization of muslims happen,"Why do historians disagree on whether Muslim marginalization in India resulted primarily from colonial legacies, post-independence state structures, or majoritarian ideology?","The answer must cite sources representing at least two distinct historiographic traditions (e.g., secular-statist accounts vs. postcolonial/subaltern critiques vs. Hindutva-aligned framings) and EXPLICITLY explain why they disagree by naming at least one methodological or conceptual difference: how they define marginalization (political exclusion vs. socioeconomic deprivation vs. symbolic violence), which temporal scope they prioritize (colonial origins vs. postcolonial contingency), or what causal mechanism they privilege (institutional design vs. mass mobilization vs. elite ideology). Fails if it only summarizes each tradition's conclusions without explaining the basis of their disagreement, or if it presents a single unified causal story as though historians agree.",PASSED,"Require meta-analysis of differing historiographic frameworks: force the system to explain WHY different scholarly traditions attribute Muslim marginalization to different causal structures (colonial continuity vs. post-independence state policy vs. majoritarian ideology), rather than just report each tradition's claims. This tests whether the system can reason about frameworks, not just retrieve within them.",question_pairs,Analyze,"The question requires examining historical events, drawing connections between religious, political, and social factors, and tracing causal relationships to explain how marginalization occurred over time.",Analyze,The question requires examining multiple competing historical interpretations and drawing connections among different causal explanations to understand why scholarly disagreement exists.
india and the religious component in historical retrospect - how did the marginalization of muslims happen,"How do historians use the same evidence—Partition violence, communal riots, and economic indicators—to support contradictory causal claims about Muslim marginalization in India?","The answer must cite at least two opposing historiographic camps that use the SAME piece of evidence (must name the specific evidence: e.g., Partition death tolls, 1992-93 Bombay riots, or Sachar Committee economic data) and EXPLICITLY explain the interpretive mechanism that allows contradiction: does one camp treat it as cause vs. the other as effect, do they assume different counterfactual baselines (e.g., 'what would have happened without Partition'), do they weight different dimensions of the same data (e.g., absolute vs. relative economic decline), or do they embed it in different causal chains? Fails if it only says 'Camp A emphasizes X, Camp B emphasizes Y' without showing they use overlapping evidence, or if it lists evidence without explaining the interpretive divergence.",PASSED,"Require explaining a methodological paradox: how do opposing historiographic camps use the SAME core historical evidence (e.g., Partition violence, communal riots, economic data) to support contradictory causal arguments about Muslim marginalization? This is harder than comparing frameworks because it demands reasoning about inference rules and evidentiary interpretation.",question_pairs,Analyze,"The question requires examining historical events, drawing connections between religious, political, and social factors, and tracing causal relationships to explain how marginalization occurred over time.",Analyze,"The question requires examining how different historians draw connections between the same evidence and contradictory conclusions, which involves comparing interpretive frameworks and distinguishing between different causal arguments."
india and the religious component in historical retrospect - how did the marginalization of muslims happen,"How would Muslim marginalization in India have differed if Partition had not occurred, and what does this reveal about its primary drivers?","The answer must construct a SPECIFIC counterfactual trajectory: describe at least two concrete ways Muslim marginalization would differ in no-Partition India (e.g., larger Muslim population share affecting political calculus, absence of Partition trauma as mobilization tool, different regional concentration patterns, or presence of Muslim-majority provinces within India changing federal dynamics). Then it must use this counterfactual to make a causal inference: identify which marginalization mechanisms would PERSIST despite no Partition (revealing they are not Partition-dependent) vs. which would be ABSENT or substantially weaker (revealing Partition as a primary driver). Fails if it only describes what Partition DID cause in actual history without constructing the alternative trajectory, or if it mechanically negates Partition effects without reasoning about substitute mechanisms or structural continuities.",PASSED,"Require counterfactual reasoning about alternative historical trajectories: force the system to explain Muslim marginalization by reasoning about what would have happened under a key alternative path (no Partition), which academic historiography describes but does not directly analyze as a counterfactual.",question_pairs,Analyze,"The question requires examining historical events, drawing connections between religious, political, and social factors, and tracing causal relationships to explain how marginalization occurred over time.",Evaluate,"The question requires judging and weighing evidence about counterfactual historical scenarios to assess what factors primarily drive Muslim marginalization, demanding critical evaluation of competing causal explanations."
india and the religious component in historical retrospect - how did the marginalization of muslims happen,"Given Muslim marginalization in India, why did it not produce sustained separatist movements in most regions, unlike comparable patterns elsewhere?","The answer must identify at least two specific countervailing mechanisms (e.g., Muslim electoral participation in majoritarian democracy, economic interdependence, linguistic/regional diversity fragmenting Muslim political identity, state co-option of religious leadership, or federal accommodation of some demands) that offset marginalization pressures. Then it must EXPLICITLY explain why these mechanisms were sufficient in India but insufficient in at least one comparison case where similar marginalization DID produce separatism (e.g., why electoral participation mattered more in India than in pre-partition Pakistan, or why economic integration worked differently than in Kashmir). Fails if it only lists factors without explaining their sufficiency, compares to cases without showing parallel marginalization, or treats the non-outcome as trivial rather than puzzling given the documented marginalization.",PASSED,"Require explaining a puzzling non-event: why a documented outcome that SHOULD occur given cross-national patterns does NOT occur, forcing synthesis of countervailing mechanisms from literatures that don't frame them as a unified explanation for this specific puzzle.",question_pairs,Analyze,"The question requires examining historical events, drawing connections between religious, political, and social factors, and tracing causal relationships to explain how marginalization occurred over time.",Analyze,"The question requires drawing connections between the phenomenon of Muslim marginalization in India and the absence of sustained separatist movements, while comparing this pattern to other contexts, which demands analytical thinking to examine relationships and distinguish between different outcomes."
india and the religious component in historical retrospect - how did the marginalization of muslims happen,"What causal mechanisms do all major historiographic traditions systematically underweight when explaining Muslim marginalization in India, and why?","The answer must name at least two specific causal mechanisms or variables that ALL cited major historiographic traditions (colonial-continuity, postcolonial-statist, majoritarian-ideology, or subaltern frameworks) underweight or omit in their explanations of Muslim marginalization. For each neglected factor, it must provide concrete evidence of the omission: cite sources from at least two different historiographic camps and show that NEITHER foregrounds this factor despite its plausible relevance (e.g., micro-level Hindu-Muslim economic competition, Muslim women's agency, Gulf remittance flows reshaping community dynamics, or Sufi institutional decline). Then it must explain WHY the field collectively neglects it (e.g., methodological nationalism ignoring transnational factors, elite-focused archives obscuring local agency, gender-blind frameworks, or presentist focus on post-1947 ignoring deeper continuities). Fails if it only critiques ONE tradition's omissions, if it names factors that some cited camps DO emphasize, or if it lists neglected factors without explaining the structural reason for collective underweighting.",FAILED,"Require identifying systematically neglected causal factors: force the system to explain what mechanisms or variables ALL major historiographic traditions (colonial-continuity, postcolonial-statist, majoritarian-ideology, subaltern) underweight or omit when explaining Muslim marginalization, rather than comparing what each tradition emphasizes. This is harder than comparing frameworks because it requires meta-reasoning about the field's collective blind spots, which no single source articulates.",question_pairs,Analyze,"The question requires examining historical events, drawing connections between religious, political, and social factors, and tracing causal relationships to explain how marginalization occurred over time.",Evaluate,"The question requires critically judging the adequacy of different historiographic traditions by identifying their systematic blind spots and justifying why these omissions occur, which demands evaluative judgment of scholarly frameworks."
"What areas of wage inequality and pay gap research have not yet been examined in review studies, and what topics are recommended for a systematic review please?","What topics do existing wage-gap review papers recommend for future systematic reviews, and which recommendation is most justified by the evidence gaps they themselves cite?","The answer must cite at least two review papers that recommend different priorities for future systematic reviews (e.g., one calling for mechanism-focused reviews vs another calling for policy-synthesis reviews), explicitly state that these recommendations conflict or differ in scope, and justify which recommendation addresses a larger or more critical evidence gap based on specific shortcomings those reviews identify in their own cited literature. Fails if it lists recommendations without showing they conflict, or if it does not ground the justification in concrete evidence gaps named by the reviews themselves.",FAILED,"Require reconciliation of conflicting recommendations: force the system to notice that existing wage-gap review papers propose contradictory priorities for future systematic reviews, then justify which recommendation is more urgent given the cited evidence.",question_pairs,Evaluate,"The question requires critically assessing existing review literature to identify gaps and make justified recommendations for future systematic reviews, which involves evaluative judgment about what merits further scholarly attention.",Evaluate,"The question requires judging which recommendation is most justified by weighing the evidence gaps cited in existing papers, demanding critical appraisal and defensible judgment."
I ran a Fourier analysis and this what came up,I ran a Fourier analysis on my dataset and found unexpected peaks—what do they mean?,"The answer must EXPLICITLY state that the question cannot be answered without additional information, and must identify at least three specific missing pieces needed for interpretation: (1) the domain/type of data analyzed, (2) sampling rate or resolution parameters, and (3) the actual frequency values and magnitudes of the peaks. Fails if it provides a confident interpretation of what the peaks mean, or if it lists generic possibilities without clearly stating the question is underspecified.",FAILED,"Make the question unanswerable by omitting critical information needed to provide a substantive answer, forcing the system to recognize what's missing rather than fill the void with generic content.",question_pairs,Understand,"The question asks for explanation or interpretation of Fourier analysis results, requiring the answerer to describe and explain what the output means.",Analyze,"The question requires examining the Fourier analysis results, drawing connections between the unexpected peaks and potential underlying patterns or phenomena in the dataset, which involves differentiation and interpretation of complex relationships."
Autism diagnosis in adults,Why do autism diagnostic instruments validated on children show inconsistent accuracy in adult populations?,"The answer must show that its OWN cited sources report conflicting findings on adult diagnostic accuracy (some reporting good sensitivity/specificity, others reporting high false-negative rates or missed diagnoses) AND attribute the conflict to at least one concrete methodological confound such as referral/ascertainment bias in adult samples, compensatory masking or camouflaging behaviors that reduce observable symptom severity, or differential instrument performance across sex/gender. Fails if it issues a uniform verdict on tool validity, or if the cited papers do not actually report conflicting accuracy findings in adult populations.",FAILED,Require reconciliation of conflicting evidence about diagnostic instrument validity: force the system to explain WHY studies disagree on whether childhood-validated tools perform well in adults rather than just cataloging their results.,question_pairs,Understand,"The question asks for an explanation or description of the process, criteria, or characteristics related to autism diagnosis in adults, which requires understanding and explaining concepts rather than merely recalling facts.",Analyze,"The question requires drawing connections between developmental differences, diagnostic validity principles, and population characteristics to explain the relationship between child-validated instruments and their performance in adults."
ضرورت و تحقیق در خصوص عوامل تاثیرگذار بر رفتار روستاییان حاشیه جنگل با منابع می‌خوام در حد دو صفحه,چرا رفتارهای روستاییان حاشیه جنگل که از منظر معیشتی منطقی‌اند، از دیدگاه حفاظت جنگل مخرب ارزیابی می‌شوند، و سیاست‌های مدیریت جنگل چگونه در برطرف کردن این تعارض ناکام می‌مانند؟,"The answer must explain the SAME concrete forest-use behavior (e.g. fuelwood collection, grazing, or timber extraction) from BOTH the villager economic-survival perspective (showing it is rational given poverty/lack of alternatives) AND the conservation ecological perspective (showing it degrades the forest), then identify at least one specific policy failure mode arising from this misalignment (e.g. enforcement without livelihood support, or protected areas that externalize costs onto the poor). Fails if it lists factors from only one stakeholder lens, or describes villagers and conservationists separately without analyzing their incentive conflict.",PASSED,"Require synthesis across conflicting stakeholder perspectives and their underlying incentive structures, rather than a single-lens factor enumeration.",question_pairs,Create,"The question asks for producing original written work (a two-page text) about the necessity and research on factors affecting rural forest-edge dwellers' behavior toward resources, which requires synthesizing information and developing new content.",Analyze,"The question requires drawing connections between different perspectives (rural livelihoods vs. forest conservation) and examining why forest management policies fail to resolve this conflict, which demands analysis of relationships and underlying causes."
ضرورت و تحقیق در خصوص عوامل تاثیرگذار بر رفتار روستاییان حاشیه جنگل با منابع می‌خوام در حد دو صفحه,آیا انگیزه‌های اقتصادی، هنجارهای اجتماعی، یا نظارت نهادی بیشترین سهم علّی را در رفتار تخریبی روستاییان حاشیه جنگل دارند، و چه شواهدی این سلسله‌مراتب علّی را ثابت می‌کند؟,"The answer must EXPLICITLY state that current research cannot definitively rank the causal contributions of economic incentives, social norms, and institutional enforcement because the existing studies are correlational/observational and do not provide controlled experiments isolating each factor. It must acknowledge that all three factors are confounded in real-world settings (e.g., poverty correlates with weak institutions, social norms interact with economic incentives) and name this as the specific evidence gap. Fails if it asserts a confident causal ranking (e.g., 'economic factors are the primary cause') based on correlation studies, or if it describes associations without stating that causal dominance is unresolved.",FAILED,Make the question unanswerable by requiring causal isolation that current research hasn't established: ask which of multiple documented factors causally dominates when the literature provides only correlational evidence without controlled comparisons.,question_pairs,Create,"The question asks for producing original written work (a two-page text) about the necessity and research on factors affecting rural forest-edge dwellers' behavior toward resources, which requires synthesizing information and developing new content.",Evaluate,"The question requires judging and weighing the relative causal contributions of different factors (economic incentives, social norms, institutional oversight) and assessing the evidence that supports this causal hierarchy, which demands evaluative judgment."
what is the benefit of ethiopian yam in food application,"Which food application maximizes the functional benefits of Ethiopian yam, and why?","The answer must explicitly name at least two distinct food applications (e.g., bakery products vs beverage fortification vs extruded snacks) that it compares using Ethiopian yam's cited functional properties, and it must justify why one application better exploits those properties than the other by referencing specific tradeoffs such as gelatinization temperature vs processing cost, or resistant-starch retention vs palatability. Fails if it lists applications without comparison, or if the comparison relies on a criterion (like 'health benefit') without grounding it in the yam's actual cited functional characteristics.",PASSED,Require comparative evaluation across contexts: force multi-dimensional tradeoff reasoning that isn't pre-packaged in any single source.,question_pairs,Understand,"The question asks the respondent to explain and describe the benefits or advantages of Ethiopian yam when used in food applications, which requires understanding and explaining concepts rather than merely recalling facts.",Evaluate,"The question requires judging which food application is best based on criteria of maximizing functional benefits, demanding evaluation of multiple options against specific standards and justification of the choice."
what is the benefit of ethiopian yam in food application,Does resistant starch retention during extrusion make Ethiopian yam superior to cassava for diabetic-friendly snacks?,"The answer must explicitly state whether the claimed resistant-starch retention during extrusion is documented specifically for Ethiopian yam cultivars (Dioscorea abyssinica/D. cayenensis-rotundata Ethiopian varieties) or only for other Dioscorea species, and if extrapolated it must qualify the conclusion as tentative pending Ethiopian-cultivar-specific data. It must compare against cassava's extrusion behavior using cited evidence, not generic assertions. Fails if it confidently asserts Ethiopian yam superiority without acknowledging the evidence gap for this specific cultivar-process combination, or if the cassava comparison lacks cited support.",FAILED,"Require distinguishing evidence scope: force the system to separate what is documented specifically for Ethiopian yam cultivars versus extrapolated from other Dioscorea species, for a property-application claim where this distinction changes the answer validity.",question_pairs,Understand,"The question asks the respondent to explain and describe the benefits of Ethiopian yam in food applications, which requires understanding and articulating the properties and advantages of this ingredient.",Evaluate,"The question requires judging the superiority of one food source over another based on a specific criterion (resistant starch retention), which demands critical appraisal and value judgment for a particular application (diabetic-friendly snacks)."
¿Cuáles son los procesos metodológicos de investigación-creación que utilizan los artistas visuales mexicanos contemporáneos para abordar temas de medio ambiente y cambio climático?,¿Cuáles procesos metodológicos de investigación-creación de artistas visuales mexicanos sobre cambio climático han demostrado impacto ambiental o social documentado?,"The answer must either (A) name at least two specific methodologies AND cite sources documenting their measurable environmental or social impact (not artist intentions or theoretical claims, but actual reported outcomes like policy change, community behavior shift, or ecological restoration), clearly linking each outcome to its methodology; OR (B) explicitly state that the academic literature does not systematically document impact metrics for these artistic methodologies, explaining what evidence is missing. Fails if it lists methods with only theoretical justifications or artist aspirations, or if it asserts impact without citing sources that report measured outcomes.",FAILED,Shift from 'what methods are used' (survey) to 'which methods achieve documented impact' (evaluative synthesis requiring reasoning from scattered evidence of outcomes).,question_pairs,Analyze,"The question requires examining and drawing connections between methodological research-creation processes used by contemporary Mexican visual artists and their approach to environmental and climate change themes, which demands identifying patterns and relationships among ideas.",Evaluate,"The question requires judging and assessing which methodological processes have demonstrated documented impact, demanding critical evaluation of evidence and effectiveness of artistic research-creation processes."
i want to write an thesis about content marketing,"What thesis could I write about whether long-form or short-form content marketing drives higher conversion, given that sources conflict?","The answer must show that its OWN cited sources disagree (some favoring long-form, others short-form for conversion) and attribute the conflict to at least one concrete methodological or contextual confound such as: platform differences (LinkedIn vs TikTok), funnel stage (awareness vs decision), audience intent (research vs quick-answer queries), or how 'conversion' is operationalized (email signup vs purchase). Then it must propose a thesis that isolates one confound (e.g., 'Long-form content drives higher purchase conversion than short-form for high-consideration B2B products'). Fails if it lists long-form and short-form as equally valid options without explaining the divergence, or if the papers it cites do not actually report conflicting conversion outcomes.",PASSED,Require reconciliation of conflicting practitioner and academic evidence: force the system to explain WHY content marketing best-practice recommendations diverge across cited sources rather than list them as alternatives.,question_pairs,Create,"Writing a thesis requires producing original scholarly work that synthesizes research, develops new arguments or frameworks, and constructs an original contribution to the field.",Create,"The question asks the user to produce an original thesis statement that synthesizes conflicting sources, requiring the generation of new scholarly work."
i want to write an thesis about content marketing,What thesis could I write proving that viral content causes higher customer lifetime value than non-viral content?,"The answer must explicitly reject the premise that causation can be proven, stating that no cited source provides controlled experimental evidence isolating virality's effect on customer lifetime value while holding confounds constant (content quality, audience selection, product category, measurement timeframe). It must then reframe toward a defensible thesis such as correlational analysis, mechanism exploration (why virality might influence CLV via brand awareness/trust), or boundary conditions (when viral content predicts CLV). Fails if it proposes a causal thesis as feasible, treats case studies or correlational data as sufficient proof of causation, or does not acknowledge the fundamental confounding problem in the literature it cites.",FAILED,"False premise requiring causal reasoning: embed an assertion that conflates correlation with causation in a way content marketing literature frequently does but doesn't explicitly debunk, forcing the system to recognize the absence of controlled evidence.",question_pairs,Create,"Writing a thesis requires producing original scholarly work that synthesizes research, develops new arguments or frameworks, and constructs an original contribution to the field.",Create,"The question asks the respondent to formulate an original thesis statement and research approach, which requires producing new intellectual work at the highest cognitive level."
"Sustainability is no longer a choice but a necessity for modern businesses. Evaluate how multinational enterprises 
(MNEs) can integrate sustainability into their business 	models, using the triple bottom line framework.","Using the triple bottom line framework, how should multinational enterprises resolve trade-offs when maximizing one pillar (people, planet, profit) directly undermines another?","The answer must explicitly acknowledge that the TBL framework does NOT provide an internal mechanism for resolving conflicts among its three pillars, and cite at least one source that discusses this limitation, critique, or the need for external prioritization criteria. Fails if it presents TBL as offering a resolution method, claims the three pillars are always mutually reinforcing, or provides MNE strategies without acknowledging that TBL itself is silent on how to choose when trade-offs are unavoidable.",FAILED,"Require reasoning about framework limitations under constraint: force the system to address what happens when the TBL's three pillars conflict, exposing that the framework offers no prioritization mechanism and that this is an unresolved problem in practice.",question_pairs,Evaluate,"The question requires students to make judgments about how MNEs can integrate sustainability using the triple bottom line framework, which involves assessing effectiveness, making reasoned arguments, and justifying approaches based on criteria.",Evaluate,"The question requires judging and defending how to resolve competing priorities among the triple bottom line pillars, demanding critical appraisal of trade-offs and justification of decision-making approaches."
how to improve the typhoon forecast？,How should limited computational resources be allocated between improving typhoon track forecasts versus intensity forecasts for 72-hour emergency evacuation decisions?,"The answer must argue for prioritizing ONE objective (track or intensity) over the other for 72-hour evacuation decisions, citing its own sources to establish that track uncertainty dominates evacuation spatial decisions while intensity is secondary when location is uncertain, OR vice versa with justification of the operational constraint. Fails if it treats track and intensity improvements as equally important without reasoning about their differential impact on evacuation decisions, or if it recommends 'improving both' without addressing the explicit resource constraint.",PASSED,"Require reasoning about tradeoffs between competing forecast objectives (track, intensity, lead time) that cannot be simultaneously optimized, forcing the system to identify which improvement matters for a specific decision context rather than surveying all improvements generically.",question_pairs,Create,"The question asks for the development of new strategies, methods, or approaches to enhance typhoon forecasting, requiring original thinking and formulation of solutions.",Evaluate,"The question requires judging and justifying how to allocate resources between competing priorities based on criteria such as forecast accuracy needs, emergency management effectiveness, and risk reduction for evacuation decisions."
how to improve the typhoon forecast？,"What is the isolated causal contribution of satellite microwave imagers to reducing 48-hour typhoon intensity forecast error, holding all other data sources constant?","The answer must EXPLICITLY state that no existing study cleanly isolates microwave imagers' causal effect by holding all other data sources and model components constant, and must identify at least one specific confound that prevents causal attribution in cited studies (e.g., simultaneous changes in model physics, concurrent addition of other satellite data, or observing system experiments that vary multiple components together). Fails if it asserts a confident quantitative causal effect (e.g., 'microwave data reduces 48h intensity error by X%') without qualifying that such estimates are correlational or confounded, or if it implies the literature resolves the isolated causal question.",FAILED,Unanswerable via missing causal isolation: ask about the specific causal contribution of a single forecast component when no study cleanly varies only that component while holding everything else constant.,question_pairs,Create,"The question asks for the development of new strategies, methods, or approaches to enhance typhoon forecasting, requiring original thinking and formulation of solutions.",Evaluate,"The question requires judging the specific value and contribution of one data source by comparing forecast performance with and without it, which demands critical appraisal of evidence to determine its isolated impact."
gems,Why do gems command high prices when their rarity is often artificially maintained through supply restriction?,"The answer must acknowledge BOTH that (1) certain gems (especially diamonds) have had their supply artificially restricted through documented cartel behavior or industry controls, citing specific evidence of supply manipulation, AND (2) this artificial scarcity coexists with or even dominates over geological rarity in determining market prices. Fails if it treats rarity purely as a geological/intrinsic property without discussing market-supply mechanisms, or if it presents physical properties as the sole price determinant while ignoring documented supply-restriction practices.",PASSED,Require synthesis across conflicting disciplinary framings: force the system to reconcile material-science claims about intrinsic properties with behavioral-economics findings about subjective valuation and constructed scarcity.,question_pairs,Remember,"The single word ""gems"" appears to be asking for basic recall of factual information about gems, requiring only retrieval of memorized knowledge.",Analyze,"The question requires drawing connections between economic concepts (supply restriction, artificial scarcity, pricing mechanisms) and examining the relationship between market manipulation and consumer behavior to explain a complex phenomenon."
gems,Why has artificial supply restriction succeeded in the diamond market but not the colored gemstone market?,"The answer must identify at least TWO structural differences between diamond and colored-gemstone markets that causally explain cartelization outcomes, citing evidence from its own sources. Required elements: (1) explicitly state that diamond cartelization succeeded (via De Beers or similar) while colored-gem markets remain unconcentrated/competitive, and (2) explain this divergence via concrete market-structure factors such as mine concentration (few large diamond sources vs many dispersed colored-gem deposits), vertical integration feasibility, or substitutability barriers. Fails if it only describes what happened without explaining WHY the outcomes differed, or if it treats all gemstone markets as having identical cartel potential.",PASSED,Require multi-step comparative reasoning to extract causal mechanisms that literature documents separately but never directly contrasts: why cartelization succeeded for diamonds but not colored gemstones.,question_pairs,Remember,"The single word ""gems"" appears to be asking for basic recall of factual information about gems, requiring only retrieval of memorized knowledge.",Analyze,"The question requires drawing connections between market characteristics, comparing two different markets (diamonds vs. colored gemstones), and examining the factors that explain differential outcomes of the same strategy."
gems,Why do synthetic diamonds command lower prices than natural diamonds despite having lower refractive indices?,"The answer must explicitly reject the premise by stating that synthetic diamonds do NOT have lower refractive indices than natural diamonds—they are optically identical when pure (both ~2.42 RI), citing evidence of this physical equivalence. It must then explain that the price discount exists for OTHER reasons such as consumer perception, branding, detection/disclosure concerns, or substitutability, not optical differences. Fails if it accepts the premise and attributes price differences to refractive index variations, or if it discusses synthetic vs natural diamonds without addressing whether their refractive indices actually differ.",FAILED,"False premise via conjunction: embed a physically false claim (synthetic diamonds have lower refractive index) with a real market phenomenon (price discount), where no source links them because the linkage is nonsensical, forcing the system to reason rather than retrieve.",question_pairs,Remember,"The single word ""gems"" appears to be asking for basic recall of factual information about gems, requiring only retrieval of memorized knowledge.",Analyze,"The question requires examining the relationship between multiple factors (price, synthetic vs. natural origin, and refractive index) and drawing connections to explain an apparent contradiction in market valuation."
